name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,mhi,emhi,grpsig_gapper,grprproj_smooth,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_dyn_gapper,grpsig_smooth,logmh,grpn,grprproj,grp,grpsig_stack,logmh_dyn_smooth
rf0018 ,0.01,0.64,0.02,0.01,0.39,0.05,14.59,0.09,-99.0,21.54,0.04,0.85660048,0.06,0.22,0.21,0.13,5.141134,0.07,-99.0,15.57,7.07,17.58,15.86,16.89,0.92,2.13,0.03,14.87,16.55,0.53,0.23,18.19,0.43,0.03,3.47,4.23,2.26,1.98,8.97,-99.0,5293.5,-99.0,0.03,-17.59,2.89,16.39,0.23,0.03,0.07,5355.0,0.34,0.21,0.03,14.78,19.0,1,35873900.0,0.0,109.006,72.9255,72.9255,-20.7069,11.8172,86.9741,12.0133,72.9255,11.7379,2.0,0.0296522,13.0,72.9255,12.3127
rf0019 ,0.01,0.33,0.02,0.01,0.51,0.05,15.58,0.09,-99.0,19.72,0.03,0.99258607,0.1,0.64,0.22,0.12,5.257265,0.06,-99.0,-99.0,5.54,17.7,16.17,17.18,0.51,1.62,0.11,-99.0,16.65,0.66,0.21,12.62,-99.0,0.24,2.75,3.55,1.64,1.46,8.53,-99.0,5736.92,-99.0,0.15,-17.48,2.42,16.79,0.21,0.03,0.06,5817.2,0.08,-99.0,0.03,15.88,18.9,1,310065000.0,20466500.0,152.83,69.2822,69.2822,-21.5563,12.9289,135.2,13.0354,69.2822,12.1659,3.0,0.158731,14.0,69.2822,12.3279
rf0020 ,0.01,0.6,0.02,0.01,0.21,0.05,15.35,0.09,-99.0,21.69,0.03,0.83353957,0.06,0.33,0.72,0.12,5.2621293,0.06,-99.0,-99.0,3.98,18.21,16.42,17.57,0.86,2.05,-0.01,-99.0,17.26,0.43,0.21,9.87,-99.0,0.02,3.37,4.13,2.19,1.93,8.69,-99.0,5736.92,-99.0,0.02,-17.07,2.81,17.03,0.22,0.03,0.04,5761.6,0.35,-99.0,0.02,15.77,19.58,1,45632000.0,0.0,152.83,69.2822,69.2822,-21.5563,12.9289,135.2,13.0354,69.2822,12.1659,3.0,0.158731,14.0,69.2822,12.3279
rf0021 ,0.01,0.76,0.02,0.01,0.04,0.05,11.69,0.09,11.67,20.15,0.03,1.1656492,0.02,0.02,0.03,0.12,5.3970879,0.06,0.02,12.64,5.24,15.27,13.08,14.5,1.12,2.51,0.0,11.9,14.12,0.33,0.21,13.2,0.03,0.02,4.1,5.02,2.7,2.35,10.21,-99.0,5617.6,-99.0,0.02,-20.08,3.43,13.82,0.22,0.03,0.03,5617.6,0.08,0.01,0.02,11.96,17.0,1,333228000.0,0.0,0.0,0.0,0.0,-20.0826,0.0,0.0,0.0,0.0,11.5089,1.0,0.0,16.0,0.0,0.0
rf0022 ,0.01,0.68,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.49,0.03,0.5576056,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.99,2.24,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.65,4.46,2.4,2.09,9.19,-99.0,5477.1,-99.0,0.03,-17.82,3.05,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,50789300.0,0.0,0.0,0.0,0.0,-17.8198,0.0,0.0,0.0,0.0,10.9799,1.0,0.0,17.0,0.0,0.0
rf0023 ,0.01,0.3,0.02,0.01,-99.0,0.05,-99.0,0.09,-99.0,19.18,0.04,-0.6614497,0.13,-99.0,-99.0,0.13,5.9486726,0.07,-99.0,15.76,4.36,17.64,-99.0,17.26,0.5,1.74,0.01,14.77,17.07,0.76,0.23,8.78,0.47,0.02,2.7,3.58,1.45,1.26,8.41,-99.0,5562.0,-99.0,0.04,-17.31,2.63,16.93,0.23,0.03,0.05,5562.0,0.04,0.17,0.02,-99.0,18.55,1,260722000.0,13863400.0,0.0,0.0,0.0,-17.3085,0.0,0.0,0.0,0.0,10.8909,1.0,0.0,18.0,0.0,0.0
rf0024 ,0.01,0.36,0.02,0.01,0.37,0.05,13.35,0.09,12.91,17.49,0.03,0.84689776,0.02,0.33,0.09,0.12,6.393436,0.06,0.31,13.83,6.63,15.83,14.41,15.39,0.56,1.71,-0.07,13.32,15.17,0.89,0.21,13.06,0.5,0.02,2.73,3.52,1.57,1.38,9.27,-99.0,5501.7,-99.0,0.02,-19.15,2.51,15.04,0.22,0.03,0.03,5501.7,0.02,0.13,0.02,13.59,16.88,1,1909770000.0,145784000.0,0.0,0.0,0.0,-19.1516,0.0,0.0,0.0,0.0,11.2509,1.0,0.0,20.0,0.0,0.0
rf0025 ,0.01,0.29,0.02,0.01,0.09,0.05,13.24,0.1,13.5,17.47,0.04,1.0200539,0.05,0.33,0.16,0.13,6.6043565,0.07,0.2,13.83,17.1,15.58,14.32,15.1,0.44,1.47,-0.12,13.41,14.78,0.63,0.24,42.41,0.34,0.05,2.58,3.32,1.55,1.39,9.29,-99.0,5499.9,-99.0,0.04,-19.45,2.21,14.69,0.24,0.03,0.04,5499.9,0.02,0.36,0.06,13.4,16.59,1,2666100000.0,160257000.0,44.9314,51.1921,51.1921,-19.4905,11.4964,35.8501,11.6926,51.1921,11.3229,1.0,0.0833913,21.0,51.1921,12.0652
rf0026 ,0.01,0.29,0.02,0.01,0.36,0.04,14.89,0.08,-99.0,18.86,0.03,-0.96671962,0.03,0.48,0.13,0.1,6.9744334,0.06,-99.0,15.2,2.59,17.14,15.82,16.78,0.46,1.6,0.09,-99.0,16.6,0.79,0.18,6.73,-99.0,0.02,2.61,3.42,1.47,1.3,8.41,-99.0,4480.1,-99.0,0.02,-17.31,2.41,16.45,0.19,0.02,0.03,4480.1,0.05,0.39,0.02,14.74,18.13,0,602630000.0,54484200.0,0.0,0.0,0.0,-17.3062,0.0,0.0,0.0,0.0,10.8909,1.0,0.0,22.0,0.0,0.0
rf0027 ,0.01,0.2,0.02,0.01,0.24,0.04,15.88,0.07,-99.0,19.25,0.03,-1.1799633,0.08,0.61,0.36,0.1,7.139569,0.05,-99.0,-99.0,7.63,17.87,16.86,17.59,0.32,1.38,-0.04,-99.0,17.45,0.25,0.17,17.37,-99.0,0.03,2.28,3.05,1.22,1.1,7.95,-99.0,4515.9,-99.0,0.02,-16.51,2.15,17.35,0.18,0.02,0.04,4515.9,0.1,-99.0,0.03,15.97,18.75,0,0.0,0.0,0.0,0.0,0.0,-16.508,0.0,0.0,0.0,0.0,10.7463,1.0,0.0,408.0,0.0,0.0
rf0028 ,0.01,0.41,0.02,0.01,0.54,0.04,14.77,0.08,14.11,19.46,0.03,-0.29954972,0.03,0.36,0.14,0.11,7.682566,0.06,0.13,15.31,6.22,17.4,15.98,16.92,0.64,1.89,-0.03,-99.0,16.69,0.27,0.2,13.84,-99.0,0.02,3.04,3.92,1.79,1.55,8.77,-99.0,5975.04,-99.0,0.02,-17.8,2.77,16.48,0.2,0.03,0.03,5995.9,0.1,0.22,0.02,14.68,18.61,1,425187000.0,37962800.0,36.9554,61.8247,61.8247,-20.6505,11.4819,29.4861,11.6781,61.8247,11.7169,2.0,0.119226,24.0,61.8247,12.2661
rf0029 ,0.02,0.24,0.03,0.01,0.56,0.06,13.75,0.11,13.61,17.43,0.04,0.5288937,0.03,0.1,0.17,0.15,7.7174579,0.08,0.09,14.31,6.81,15.98,14.96,15.65,0.39,1.45,-0.05,13.7,15.47,0.72,0.26,14.1,0.08,0.03,2.39,3.15,1.33,1.18,9.07,-99.0,5886.3,-99.0,0.02,-19.05,2.21,15.35,0.27,0.03,0.03,5880.0,0.02,0.11,0.02,14.2,16.93,1,1815090000.0,183174000.0,33.3812,57.2433,57.2433,-19.8853,11.3227,29.6598,11.4253,57.2433,11.4349,2.0,0.0816574,25.0,57.2433,12.1192
rf0030 ,0.02,0.4,0.03,0.01,0.19,0.06,13.08,0.11,12.69,17.75,0.04,0.43559649,0.02,0.38,0.14,0.15,7.752697,0.08,0.21,14.35,4.49,16.01,14.56,15.55,0.61,1.77,0.05,13.53,15.28,0.68,0.26,16.08,0.14,0.02,2.81,3.61,1.65,1.44,9.39,-99.0,5886.3,-99.0,0.04,-19.15,2.57,15.1,0.27,0.03,0.03,5892.6,0.03,0.05,0.03,13.42,17.05,1,1789430000.0,150512000.0,33.3812,57.2433,57.2433,-19.8853,11.3227,29.6598,11.4253,57.2433,11.4349,2.0,0.0816574,25.0,57.2433,12.1192
rf0031 ,0.01,0.67,0.02,0.01,0.01,0.04,-99.0,0.07,11.2,18.1,0.03,-0.40728233,0.02,-99.0,0.02,0.1,7.8004756,0.05,0.05,12.1,7.48,14.89,12.68,14.13,1.01,2.55,-0.08,11.43,13.76,0.53,0.17,21.84,0.03,0.02,4.02,5.0,2.49,2.15,10.29,-99.0,5975.04,-99.0,0.02,-20.57,3.53,13.48,0.18,0.02,0.03,5954.2,0.04,0.07,0.02,11.48,16.32,1,3395690000.0,261612000.0,36.9554,61.8247,61.8247,-20.6505,11.4819,29.4861,11.6781,61.8247,11.7169,2.0,0.119226,24.0,61.8247,12.2661
rf0032 ,0.01,0.35,0.02,0.01,0.11,0.05,13.81,0.09,13.74,17.77,0.03,0.90061022,0.04,0.39,0.25,0.12,7.9306263,0.06,0.21,15.01,10.31,16.32,15.2,15.91,0.53,1.64,-0.08,14.19,15.69,0.92,0.21,23.01,0.46,0.02,2.58,3.34,1.48,1.3,8.99,-99.0,5495.9,-99.0,0.02,-18.63,2.39,15.58,0.22,0.03,0.03,5495.9,0.04,0.37,0.02,14.12,17.3,1,1585700000.0,87286000.0,0.0,0.0,0.0,-18.6311,0.0,0.0,0.0,0.0,11.1349,1.0,0.0,26.0,0.0,0.0
rf0033 ,0.01,0.28,0.02,0.01,0.51,0.04,15.2,0.08,-99.0,18.49,0.03,-0.99101351,0.03,0.37,0.5,0.1,7.958349,0.05,-99.0,14.93,9.24,16.99,15.96,16.65,0.44,1.54,-0.09,14.29,16.48,0.35,0.18,20.87,0.26,0.02,2.49,3.26,1.39,1.22,8.73,-99.0,5999.4,-99.0,0.02,-18.07,2.31,16.3,0.19,0.02,0.03,5999.4,0.04,0.12,0.02,14.94,17.93,1,3385310000.0,272386000.0,0.0,0.0,0.0,-18.0661,0.0,0.0,0.0,0.0,11.0269,1.0,0.0,28.0,0.0,0.0
rf0034 ,0.01,0.3,0.02,0.01,0.16,0.04,14.87,0.07,-99.0,19.09,0.03,-0.28733436,0.04,0.43,0.28,0.1,9.1263438,0.05,-99.0,15.98,6.81,17.53,16.15,17.16,0.49,1.68,-0.05,14.85,16.98,0.21,0.18,13.8,0.37,0.02,2.65,3.5,1.45,1.27,8.43,-99.0,5400.1,-99.0,0.02,-17.33,2.53,16.81,0.19,0.02,0.03,5400.1,0.09,0.14,0.02,14.96,18.53,1,837335000.0,64393300.0,0.0,0.0,0.0,-17.3305,0.0,0.0,0.0,0.0,10.8939,1.0,0.0,30.0,0.0,0.0
rf0035 ,0.01,0.3,0.02,0.01,-99.0,0.05,-99.0,0.08,-99.0,20.14,0.03,0.27770356,0.43,-99.0,0.73,0.11,9.370262,0.06,-99.0,-99.0,7.09,18.23,17.07,17.83,0.48,1.65,-0.02,-99.0,17.63,0.47,0.2,17.62,-99.0,0.03,2.75,3.6,1.58,1.4,8.01,-99.0,4387.6,-99.0,0.05,-16.22,2.5,17.29,0.2,0.03,0.04,4387.6,0.06,-99.0,0.05,-99.0,19.3,0,514897000.0,0.0,0.0,0.0,0.0,-16.2162,0.0,0.0,0.0,0.0,10.6836,1.0,0.0,411.0,0.0,0.0
rf0036 ,0.01,0.46,0.01,0.01,0.26,0.03,15.47,0.06,-99.0,20.61,0.02,1.1407252,0.11,1.19,0.61,0.08,9.6684807,0.05,-99.0,-99.0,3.63,18.2,16.54,17.68,0.71,1.93,0.12,-99.0,17.42,0.86,0.15,8.94,-99.0,0.02,3.16,4.0,1.94,1.69,8.33,-99.0,4405.97,-99.0,0.05,-16.37,2.77,17.22,0.15,0.02,0.07,4428.5,0.18,-99.0,0.03,15.62,19.4,0,238569000.0,0.0,89.7255,70.602,93.996,-22.8158,12.9623,86.3735,12.9953,93.996,13.0789,3.0,0.419923,31.0,92.9284,12.878
rf0037 ,0.01,0.53,0.02,0.01,0.04,0.04,-99.0,0.08,10.14,15.54,0.03,0.86009895,0.03,-99.0,0.04,0.1,9.895471,0.06,0.23,11.0,28.57,13.21,11.61,12.64,0.8,2.04,-0.09,10.4,12.32,0.73,0.18,53.46,0.17,0.03,3.23,4.06,1.99,1.72,10.51,-99.0,4405.97,-99.0,0.03,-21.47,2.87,12.11,0.19,0.02,0.03,4527.4,0.01,0.14,0.02,10.38,14.43,0,5113800000.0,98721900.0,89.7255,70.602,93.996,-22.8158,12.9623,86.3735,12.9953,93.996,13.0789,3.0,0.419923,31.0,92.9284,12.878
rf0038 ,0.01,0.63,0.02,0.01,0.2,0.04,14.79,0.08,-99.0,21.51,0.03,0.96071864,0.08,0.47,0.4,0.11,9.9306327,0.06,-99.0,15.7,6.07,17.75,16.04,17.13,0.9,2.12,-0.01,14.59,16.77,0.36,0.19,14.28,0.26,0.02,3.47,4.25,2.25,1.98,8.65,-99.0,4405.97,-99.0,0.04,-16.88,2.9,16.62,0.19,0.02,0.1,4325.7,0.34,0.25,0.02,15.0,19.19,0,309621000.0,0.0,89.7255,70.602,93.996,-22.8158,12.9623,86.3735,12.9953,93.996,13.0789,3.0,0.419923,31.0,92.9284,12.878
rf0039 ,0.01,0.17,0.02,0.01,3.35,0.04,15.56,0.08,-99.0,19.87,0.03,0.048237071,0.14,1.15,0.41,0.11,10.019023,0.06,-99.0,-99.0,3.82,18.22,17.25,17.99,0.27,1.28,-0.01,-99.0,17.87,0.58,0.2,8.03,-99.0,0.07,2.28,3.04,1.27,1.17,7.75,-99.0,4432.5,-99.0,0.05,-16.07,2.05,17.78,0.2,0.03,0.04,4432.5,0.12,-99.0,0.04,16.38,19.28,0,472755000.0,103567000.0,0.0,0.0,0.0,-16.0741,0.0,0.0,0.0,0.0,10.6507,1.0,0.0,413.0,0.0,0.0
rf0040 ,0.02,0.5,0.02,0.01,0.09,0.05,13.13,0.1,12.62,18.3,0.04,-0.045310598,0.02,0.41,0.07,0.13,10.112196,0.07,0.33,13.92,6.88,16.14,14.35,15.57,0.77,2.04,-0.02,13.35,15.29,0.48,0.24,13.53,0.17,0.03,3.21,4.09,1.93,1.66,9.49,-99.0,5984.3,-99.0,0.02,-19.16,2.93,15.06,0.25,0.03,0.03,5984.3,0.02,0.03,0.02,13.34,17.34,1,378492000.0,30889100.0,0.0,0.0,0.0,-19.1577,0.0,0.0,0.0,0.0,11.2539,1.0,0.0,32.0,0.0,0.0
rf0041 ,0.01,0.42,0.02,0.01,0.64,0.04,16.33,0.07,-99.0,20.58,0.03,0.32853565,0.12,0.59,0.33,0.09,10.113321,0.05,-99.0,-99.0,4.12,18.41,17.11,17.93,0.63,1.77,0.16,-99.0,17.7,0.62,0.16,9.86,-99.0,0.02,2.96,3.75,1.82,1.61,8.19,-99.0,4405.97,-99.0,0.02,-16.17,2.56,17.44,0.17,0.02,0.14,4535.4,0.21,-99.0,0.02,16.12,19.5,0,317054000.0,0.0,89.7255,70.602,93.996,-22.8158,12.9623,86.3735,12.9953,93.996,13.0789,3.0,0.419923,31.0,92.9284,12.878
